device_id,date,time,temperature,RH,PM2.5,lat,lon
74DA38ED0610,2020-12-31,00:00:03,10.75,61.0,12.0,24.032,121.605
74DA38F21028,2020-12-31,00:00:07,10.12,76.0,18.0,24.707,121.202
74DA38F20C14,2020-12-31,00:00:13,11.62,100.0,23.0,23.584,119.662
74DA38F20EA0,2020-12-31,00:00:14,15.62,52.0,32.0,24.591,121.107
74DA38F2094E,2020-12-31,00:00:22,6.5,100.0,17.0,24.926,121.018
74DA38F20F9E,2020-12-31,00:00:25,11.12,100.0,7.0,23.213,119.428
74DA38ED06C0,2020-12-31,00:00:35,15.0,71.0,20.0,24.162,121.652
74DA38F20AD8,2020-12-31,00:00:35,19.37,51.0,27.0,22.755,120.5
74DA38ED0628,2020-12-31,00:00:54,11.75,69.0,18.0,23.992,121.607
74DA38F210C4,2020-12-31,00:00:54,17.37,85.0,38.0,22.468,120.459
74DA38F2090A,2020-12-31,00:01:04,14.75,98.0,29.0,22.562,120.491
74DA38F20F98,2020-12-31,00:01:30,11.37,78.0,0.0,23.569,119.581
74DA38ED0756,2020-12-31,00:01:31,12.75,100.0,18.0,23.75,121.451
74DA38F20DF4,2020-12-31,00:01:34,9.12,56.0,14.0,24.813,121.128
74DA38F209B2,2020-12-31,00:01:36,17.62,90.0,31.0,22.363,120.599
74DA38F20D4E,2020-12-31,00:01:42,9.75,65.0,13.0,24.836,121.019
74DA38ED063A,2020-12-31,00:01:43,10.62,80.0,1.0,23.296,121.267
74DA38ED05B2,2020-12-31,00:01:48,15.0,63.0,0.0,24.102,121.606
74DA38F20CD8,2020-12-31,00:01:52,16.75,70.0,34.0,22.681,120.499
74DA38F20CFC,2020-12-31,00:01:52,18.12,100.0,34.0,22.337,120.368
74DA38F211BC,2020-12-31,00:02:01,18.5,80.0,23.0,22.787,120.614
74DA38F20944,2020-12-31,00:02:08,7.5,100.0,15.0,24.902,120.991
74DA38F20C48,2020-12-31,00:02:09,8.37,100.0,28.0,24.89,121.052
74DA38F20CD6,2020-12-31,00:02:09,16.37,63.0,26.0,22.671,120.485
74DA38F20CCE,2020-12-31,00:02:17,14.0,59.0,34.0,22.669,120.498
74DA38F208E2,2020-12-31,00:02:19,10.12,66.0,23.0,24.688,121.765
74DA38F20F92,2020-12-31,00:02:24,10.5,100.0,21.0,23.527,119.589
74DA38ED05B0,2020-12-31,00:02:30,11.37,100.0,14.0,23.576,121.361
74DA38F20F72,2020-12-31,00:02:36,8.75,56.0,10.0,24.872,121.018
74DA38F208BE,2020-12-31,00:02:39,10.12,59.0,23.0,24.621,121.835
74DA38ED0596,2020-12-31,00:02:43,12.87,77.0,37.0,23.783,121.451
74DA38ED047A,2020-12-31,00:02:55,9.5,57.0,16.0,24.308,121.748
74DA38F20F9C,2020-12-31,00:02:57,16.0,100.0,16.0,23.635,119.522
74DA38ED05EA,2020-12-31,00:03:09,13.12,100.0,20.0,23.394,121.357
74DA38F20CF4,2020-12-31,00:03:16,17.37,50.0,31.0,22.514,120.511
74DA38F210E0,2020-12-31,00:03:21,19.37,55.0,30.0,22.513,120.518
74DA38F21024,2020-12-31,00:03:22,12.0,50.0,13.0,24.93,121.036
